104, Jul 24, a, TBR, 11:10
105, Jul 25, h, NYY, 06:10
106, Jul 26, h, NYY, 06:10
107, Jul 27, h, NYY, 03:05
108, Jul 28, h, NYY, 06:05
109, Jul 30, h, TBR, 06:10
110, Jul 31, h, TBR, 06:10
111, Aug 01, h, TBR, 06:10
112, Aug 02, a, NYY, 06:05
113, Aug 03, a, NYY, 03:05
114, Aug 04, a, NYY, 06:05
126, Aug 17, h, BAL, 06:10
115, Aug 05, h, KCR, 06:10
116, Aug 06, h, KCR, 06:10
117, Aug 07, h, KCR, 06:10
118, Aug 08, h, LAA, 06:10
119, Aug 09, h, LAA, 03:05
120, Aug 10, h, LAA, 12:05
121, Aug 11, h, LAA, 06:10
122, Aug 12, a, CLE, 06:10
123, Aug 13, a, CLE, 12:10
124, Aug 14, a, CLE, 06:10
125, Aug 16, h, BAL, 06:10
127, Aug 18, h, BAL, 12:05
128, Aug 20, h, PHI, 06:10
129, Aug 21, h, PHI, 06:10
130, Aug 23, a, SDP, 09:10
131, Aug 24, a, SDP, 07:40
132, Aug 25, a, SDP, 03:10
133, Aug 27, a, COL, 07:40
134, Aug 28, a, COL, 07:40
135, Aug 30, a, LAA, 09:07
136, Aug 31, a, LAA, 08:07
137, Sep 01, a, LAA, 03:07
138, Sep 03, h, MIN, 06:10
139, Sep 04, h, MIN, 06:10
140, Sep 05, h, MIN, 06:10
141, Sep 06, h, NYY, 06:10
142, Sep 07, h, NYY, 03:05
143, Sep 08, h, NYY, 07:05
144, Sep 09, h, NYY, 06:10
145, Sep 10, a, TOR, 06:07
146, Sep 11, a, TOR, 06:07
147, Sep 12, a, TOR, 06:07
148, Sep 14, a, PHI, 06:05
149, Sep 15, a, PHI, 12:05
150, Sep 17, h, SFG, 06:10
151, Sep 18, h, SFG, 06:10
152, Sep 19, h, SFG, 12:05
153, Sep 20, a, TBR, 06:10
154, Sep 21, a, TBR, 05:10
155, Sep 22, a, TBR, 12:10
156, Sep 23, a, TBR, 06:10
157, Sep 24, a, TEX, 07:05
158, Sep 25, a, TEX, 07:05
159, Sep 26, a, TEX, 01:05
160, Sep 27, h, BAL, 06:10
161, Sep 28, h, BAL, 12:05
162, Sep 29, h, BAL, 02:05
