085, Jun 30, h, NYY, 10.10
086, Jul 02, a, TOR, 7.07
087, Jul 03, a, TOR, 7.07
088, Jul 04, a, TOR, 7.07
089, Jul 05, a, DET, 7.10
090, Jul 06, a, DET, 4.10
091, Jul 07, a, DET, 1.10
092, Jul 12, h, LAD, 7.10
093, Jul 13, h, LAD, 7.15
094, Jul 14, h, LAD, 7.05
095, Jul 15, h, TOR, 7.10
096, Jul 16, h, TOR, 7.10
097, Jul 17, h, TOR, 7.10
098, Jul 18, h, TOR, 7.10
099, Jul 19, a, BAL, 7.05
100, Jul 20, a, BAL, 7.05
101, Jul 21, a, BAL, 1.05
102, Jul 22, a, TBR, 7.10
103, Jul 23, a, TBR, 7.10
104, Jul 24, a, TBR, 12.10
105, Jul 25, h, NYY, 7.10
106, Jul 26, h, NYY, 7.10
107, Jul 27, h, NYY, 4.05
108, Jul 28, h, NYY, 7.05
109, Jul 30, h, TBR, 7.10
110, Jul 31, h, TBR, 7.10
111, Aug 01, h, TBR, 7.10
112, Aug 02, a, NYY, 7.05
113, Aug 03, a, NYY, 4.05
114, Aug 04, a, NYY, 7.05
115, Aug 05, h, KCR, 7.10
116, Aug 06, h, KCR, 7.10
117, Aug 07, h, KCR, 7.10
118, Aug 08, h, LAA, 7.10
119, Aug 09, h, LAA, 7.10
120, Aug 10, h, LAA, 4.05
121, Aug 11, h, LAA, 1.05
122, Aug 12, a, CLE, 7.10
123, Aug 13, a, CLE, 7.10
124, Aug 14, a, CLE, 1.10
125, Aug 16, h, BAL, 7.10
126, Aug 17, h, BAL, 7.10
127, Aug 18, h, BAL, 1.05
128, Aug 20, h, PHI, 7.10
129, Aug 21, h, PHI, 7.10
130, Aug 23, a, SDP, 10.10
131, Aug 24, a, SDP, 8.40
132, Aug 25, a, SDP, 4.10
133, Aug 27, a, COL, 8.40
134, Aug 28, a, COL, 8.40
135, Aug 30, a, LAA, 10.07
136, Aug 31, a, LAA, 9.07
137, Sep 01, a, LAA, 4.07
138, Sep 03, h, MIN, 7.10
139, Sep 04, h, MIN, 7.10
140, Sep 05, h, MIN, 7.10
141, Sep 06, h, NYY, 7.10
142, Sep 07, h, NYY, 4.05
143, Sep 08, h, NYY, 8.05
144, Sep 09, h, NYY, 7.10
145, Sep 10, a, TOR, 7.07
146, Sep 11, a, TOR, 7.07
147, Sep 12, a, TOR, 7.07
148, Sep 14, a, PHI, 7.05
149, Sep 15, a, PHI, 1.05
150, Sep 17, h, SFG, 7.10
151, Sep 18, h, SFG, 7.10
152, Sep 19, h, SFG, 1.05
153, Sep 20, a, TBR, 7.10
154, Sep 21, a, TBR, 6.10
155, Sep 22, a, TBR, 1.10
156, Sep 23, a, TBR, 7.10
157, Sep 24, a, TEX, 8.05
158, Sep 25, a, TEX, 8.05
159, Sep 26, a, TEX, 2.05
160, Sep 27, h, BAL, 7.10
161, Sep 28, h, BAL, 1.05
162, Sep 29, h, BAL, 3.05
