066, Jun 08, h, TBR, 1:05 pm
067, Jun 09, h, TBR, 1:05 pm
068, Jun 10, h, TEX, 7:10 pm
069, Jun 11, h, TEX, 7:10 pm
070, Jun 12, h, TEX, 7:10 pm
071, Jun 13, h, TEX, 7:10 pm
072, Jun 14, a, BAL, 7:05 pm
073, Jun 15, a, BAL, 4:05 pm
074, Jun 16, a, BAL, 1:05 pm
075, Jun 17, a, MIN, 8:10 pm
076, Jun 18, a, MIN, 8:10 pm
077, Jun 19, a, MIN, 8:10 pm
078, Jun 21, h, TOR, 7:10 pm
079, Jun 22, h, TOR, 4:05 pm
080, Jun 23, h, TOR, 1:05 pm
081, Jun 24, h, CHW, 7:10 pm
082, Jun 25, h, CHW, 7:10 pm
083, Jun 26, h, CHW, 1:05 pm
084, Jun 29, h, NYY, 1:10 pm
085, Jun 30, h, NYY, 10:10 am
086, Jul 02, a, TOR, 7:07 pm
087, Jul 03, a, TOR, 7:07 pm
088, Jul 04, a, TOR, 7:07 pm
089, Jul 05, a, DET, 7:10 pm
090, Jul 06, a, DET, 4:10 pm
091, Jul 07, a, DET, 1:10 pm
092, Jul 12, h, LAD, 7:10 pm
093, Jul 13, h, LAD, 7:15 pm
094, Jul 14, h, LAD, 7:05 pm
095, Jul 15, h, TOR, 7:10 pm
096, Jul 16, h, TOR, 7:10 pm
097, Jul 17, h, TOR, 7:10 pm
098, Jul 18, h, TOR, 7:10 pm
099, Jul 19, a, BAL, 7:05 pm
100, Jul 20, a, BAL, 7:05 pm
101, Jul 21, a, BAL, 1:05 pm
102, Jul 22, a, TBR, 7:10 pm
103, Jul 23, a, TBR, 7:10 pm
104, Jul 24, a, TBR, 12:10 pm
105, Jul 25, h, NYY, 7:10 pm
106, Jul 26, h, NYY, 7:10 pm
107, Jul 27, h, NYY, 4:05 pm
108, Jul 28, h, NYY, 7:05 pm
109, Jul 30, h, TBR, 7:10 pm
110, Jul 31, h, TBR, 7:10 pm
111, Aug 01, h, TBR, 7:10 pm
112, Aug 02, a, NYY, 7:05 pm
113, Aug 03, a, NYY, 4:05 pm
114, Aug 04, a, NYY, 7:05 pm
115, Aug 05, h, KCR, 7:10 pm
116, Aug 06, h, KCR, 7:10 pm
117, Aug 07, h, KCR, 7:10 pm
118, Aug 08, h, LAA, 7:10 pm
119, Aug 09, h, LAA, 7:10 pm
120, Aug 10, h, LAA, 4:05 pm
121, Aug 11, h, LAA, 1:05 pm
122, Aug 12, a, CLE, 7:10 pm
123, Aug 13, a, CLE, 7:10 pm
124, Aug 14, a, CLE, 1:10 pm
125, Aug 16, h, BAL, 7:10 pm
126, Aug 17, h, BAL, 7:10 pm
127, Aug 18, h, BAL, 1:05 pm
128, Aug 20, h, PHI, 7:10 pm
129, Aug 21, h, PHI, 7:10 pm
130, Aug 23, a, SDP, 10:10 pm
131, Aug 24, a, SDP, 8:40 pm
132, Aug 25, a, SDP, 4:10 pm
133, Aug 27, a, COL, 8:40 pm
134, Aug 28, a, COL, 8:40 pm
135, Aug 30, a, LAA, 10:07 pm
136, Aug 31, a, LAA, 9:07 pm
137, Sep 01, a, LAA, 4:07 pm
138, Sep 03, h, MIN, 7:10 pm
139, Sep 04, h, MIN, 7:10 pm
140, Sep 05, h, MIN, 7:10 pm
141, Sep 06, h, NYY, 7:10 pm
142, Sep 07, h, NYY, 4:05 pm
143, Sep 08, h, NYY, 8:05 pm
144, Sep 09, h, NYY, 7:10 pm
145, Sep 10, a, TOR, 7:07 pm
146, Sep 11, a, TOR, 7:07 pm
147, Sep 12, a, TOR, 7:07 pm
148, Sep 14, a, PHI, 7:05 pm
149, Sep 15, a, PHI, 1:05 pm
150, Sep 17, h, SFG, 7:10 pm
151, Sep 18, h, SFG, 7:10 pm
152, Sep 19, h, SFG, 1:05 pm
153, Sep 20, a, TBR, 7:10 pm
154, Sep 21, a, TBR, 6:10 pm
155, Sep 22, a, TBR, 1:10 pm
156, Sep 23, a, TBR, 7:10 pm
157, Sep 24, a, TEX, 8:05 pm
158, Sep 25, a, TEX, 8:05 pm
159, Sep 26, a, TEX, 2:05 pm
160, Sep 27, h, BAL, 7:10 pm
161, Sep 28, h, BAL, 1:05 pm
162, Sep 29, h, BAL, 3:05 pm
